"reserved_room_type" "stays_in_week_nights" "stays_in_weekend_nights" "children" "babies"
"25873" "E" 4 2 0 0
"25874" "D" 4 2 0 0
"25875" "C" 3 2 1 0
"25876" "A" 10 4 0 0
"25877" "D" 8 3 0 0
"25878" "D" 8 3 0 0
"25879" "D" 7 2 0 0
"25880" "G" 8 3 0 0
"25881" "G" 8 3 2 0
"25882" "D" 5 2 0 0
"25883" "A" 0 0 0 0
"25884" "A" 3 1 0 0
"25885" "A" 1 0 0 0
"25886" "A" 8 3 1 0
"25887" "A" 8 3 1 0
"25888" "E" 3 1 0 0
"25889" "D" 5 2 0 0
"25890" "F" 3 1 0 0
"25891" "D" 4 2 0 0
"25892" "D" 4 2 0 0
"25893" "A" 2 0 0 0
"25894" "E" 10 4 0 0
"25895" "E" 5 2 0 0
"25896" "D" 5 2 0 0
"25897" "E" 2 0 0 0
"25898" "D" 5 2 0 0
"25899" "F" 3 0 0 0
"25900" "A" 1 0 0 0
"25901" "A" 2 0 0 0
"25902" "A" 1 0 0 0
"25903" "H" 3 1 1 0
"25904" "A" 5 2 0 0
"25905" "A" 5 2 0 0
"25906" "D" 8 2 0 0
"25907" "A" 5 2 0 0
"25908" "A" 5 2 0 0
"25909" "A" 5 2 0 0
"25910" "A" 5 2 0 0
"25911" "A" 5 2 0 0
"25912" "A" 4 2 0 0
"25913" "A" 4 1 0 0
"25914" "A" 4 1 1 0
"25915" "E" 4 2 0 0
"25916" "A" 5 2 0 0
"25917" "A" 4 2 0 0
"25918" "A" 1 0 0 0
"25919" "A" 2 0 0 0
"25920" "A" 1 0 0 0
"25921" "G" 1 0 2 0
"25922" "A" 10 4 0 0
"25923" "D" 5 2 0 0
"25924" "E" 4 1 0 0
"25925" "E" 1 0 0 0
"25926" "A" 2 0 1 0
"25927" "E" 10 4 0 0
"25928" "D" 10 4 0 0
"25929" "D" 5 2 0 0
"25930" "F" 5 2 1 0
"25931" "A" 10 4 0 0
"25932" "D" 1 0 0 0
"25933" "A" 4 2 0 0
"25934" "A" 5 2 0 0
"25935" "A" 2 0 0 0
"25936" "A" 10 4 0 0
"25937" "D" 2 0 0 1
"25938" "D" 2 0 0 1
"25939" "D" 8 2 0 0
"25940" "A" 4 0 0 0
"25941" "A" 4 0 1 0
"25942" "D" 5 2 0 0
"25943" "D" 3 0 0 0
"25944" "A" 3 0 0 0
"25945" "A" 2 0 0 0
"25946" "A" 2 0 0 0
"25947" "F" 3 0 0 0
"25948" "D" 2 0 0 0
"25949" "A" 5 0 0 0
"25950" "A" 5 0 0 0
"25951" "A" 2 0 0 0
"25952" "D" 10 4 0 0
"25953" "D" 10 4 0 0
"25954" "A" 2 0 0 0
"25955" "D" 2 0 0 0
"25956" "C" 4 0 2 0
"25957" "A" 6 2 0 0
"25958" "D" 7 2 0 0
"25959" "C" 6 2 1 0
"25960" "A" 1 0 0 0
"25961" "A" 1 0 0 0
"25962" "A" 1 0 0 0
"25963" "H" 2 0 1 0
"25964" "A" 1 0 0 0
"25965" "A" 1 0 0 0
"25966" "A" 2 0 0 0
"25967" "D" 2 0 0 0
"25968" "G" 6 2 2 0
"25969" "H" 3 0 1 0
"25970" "A" 0 1 1 0
"25971" "D" 5 2 0 0
"25972" "A" 6 2 0 1
"25973" "G" 2 0 0 0
"25974" "D" 0 1 1 0
"25975" "D" 0 0 0 0
"25976" "D" 9 3 1 0
"25977" "E" 5 2 0 0
"25978" "A" 5 1 0 0
"25979" "C" 3 1 2 0
"25980" "D" 7 3 0 0
"25981" "A" 2 1 0 0
"25982" "A" 2 1 0 0
"25983" "F" 6 3 0 0
"25984" "E" 5 3 0 0
"25985" "A" 5 2 0 0
"25986" "D" 5 2 0 0
"25987" "E" 5 3 0 0
"25988" "E" 5 3 0 0
"25989" "A" 3 1 0 0
"25990" "A" 5 2 0 0
"25991" "C" 4 1 1 0
"25992" "D" 3 1 0 0
"25993" "C" 5 2 2 0
"25994" "D" 2 1 0 0
"25995" "A" 1 1 0 0
"25996" "A" 4 1 0 0
"25997" "A" 7 3 0 0
"25998" "D" 2 1 0 0
"25999" "D" 1 1 0 0
"26000" "C" 3 1 2 0
"26001" "A" 0 1 0 0
"26002" "E" 3 1 0 0
"26003" "A" 0 1 0 0
"26004" "E" 1 1 0 0
"26005" "E" 5 1 0 0
"26006" "A" 10 4 0 0
"26007" "A" 10 4 0 0
"26008" "A" 5 2 0 0
"26009" "F" 4 1 0 0
"26010" "D" 6 4 0 0
"26011" "A" 10 4 0 0
"26012" "A" 6 4 0 0
"26013" "D" 5 2 0 0
"26014" "D" 5 2 0 0
"26015" "D" 5 2 0 0
"26016" "D" 5 2 0 0
"26017" "A" 2 2 0 0
"26018" "A" 5 3 1 0
"26019" "A" 5 3 0 0
"26020" "A" 1 2 0 0
"26021" "A" 5 2 0 0
"26022" "A" 5 2 0 0
"26023" "G" 5 3 2 0
"26024" "G" 0 2 2 0
"26025" "A" 1 2 0 0
"26026" "D" 4 2 0 0
"26027" "G" 10 4 2 0
"26028" "F" 3 2 0 0
"26029" "A" 1 2 1 0
"26030" "A" 1 2 1 0
"26031" "G" 0 2 2 0
"26032" "H" 0 1 2 0
"26033" "D" 2 2 0 0
"26034" "A" 0 1 0 0
"26035" "A" 5 2 0 0
"26036" "A" 20 8 0 0
"26037" "A" 5 2 0 0
"26038" "A" 5 2 0 0
"26039" "A" 5 2 0 0
"26040" "A" 10 4 0 0
"26041" "D" 10 4 0 0
"26042" "A" 2 2 0 0
"26043" "A" 2 2 0 0
"26044" "A" 1 2 0 0
"26045" "A" 5 4 0 0
"26046" "A" 0 0 0 0
"26047" "A" 6 3 0 0
"26048" "E" 5 2 0 0
"26049" "A" 1 0 0 0
"26050" "A" 1 0 0 0
"26051" "G" 3 2 2 0
"26052" "A" 1 0 0 0
"26053" "A" 1 0 0 0
"26054" "D" 1 1 0 0
"26055" "A" 3 2 0 0
"26056" "A" 1 1 0 0
"26057" "A" 1 0 0 0
"26058" "A" 1 0 0 0
"26059" "A" 1 1 0 1
"26060" "A" 1 2 0 0
"26061" "A" 1 1 0 0
"26062" "A" 3 2 0 0
"26063" "D" 6 3 0 0
"26064" "A" 2 2 0 0
"26065" "A" 2 2 0 0
"26066" "A" 3 0 0 0
"26067" "A" 0 0 0 0
"26068" "A" 3 0 0 0
"26069" "A" 0 0 0 0
"26070" "A" 0 0 0 0
"26071" "A" 3 0 0 0
"26072" "D" 7 4 0 0
"26073" "A" 10 4 0 0
"26074" "A" 5 2 0 0
"26075" "D" 7 4 0 0
"26076" "D" 7 4 0 0
"26077" "A" 5 4 0 0
"26078" "D" 7 4 0 0
"26079" "A" 5 4 0 0
"26080" "F" 7 2 0 0
"26081" "G" 2 1 2 0
"26082" "A" 2 2 0 0
"26083" "F" 4 2 0 0
"26084" "D" 7 4 0 0
"26085" "A" 3 2 0 0
"26086" "A" 7 2 0 0
"26087" "A" 2 0 0 0
"26088" "D" 2 1 0 0
"26089" "C" 5 2 2 0
"26090" "D" 2 2 0 0
"26091" "E" 5 2 0 0
"26092" "G" 1 0 0 0
"26093" "A" 3 2 0 0
"26094" "A" 2 2 0 0
"26095" "F" 5 2 1 0
"26096" "D" 0 0 0 0
"26097" "A" 2 2 0 0
"26098" "D" 8 4 0 0
"26099" "E" 3 1 1 0
"26100" "A" 3 1 1 0
"26101" "D" 3 1 0 0
"26102" "A" 1 0 0 0
"26103" "D" 1 0 0 0
"26104" "F" 1 0 0 0
"26105" "D" 3 1 0 0
"26106" "E" 5 2 0 0
"26107" "A" 3 1 1 0
"26108" "A" 3 1 0 0
"26109" "C" 3 1 2 0
"26110" "G" 3 0 2 0
"26111" "A" 3 1 0 0
"26112" "A" 4 2 0 1
"26113" "D" 1 0 0 0
"26114" "A" 1 0 0 0
"26115" "A" 3 1 0 0
"26116" "A" 3 1 0 0
"26117" "D" 8 4 0 0
"26118" "D" 1 0 0 0
"26119" "C" 3 1 2 0
"26120" "D" 1 0 0 0
"26121" "E" 5 2 0 0
"26122" "E" 1 0 0 0
"26123" "A" 2 0 0 0
"26124" "C" 3 1 0 0
"26125" "D" 3 1 0 0
"26126" "A" 9 2 0 0
"26127" "A" 10 4 0 0
"26128" "A" 3 0 0 0
"26129" "A" 4 0 1 0
"26130" "D" 8 2 0 0
"26131" "A" 1 0 0 0
"26132" "A" 4 2 0 0
"26133" "A" 4 2 0 0
"26134" "A" 4 1 0 0
"26135" "A" 4 1 0 0
"26136" "A" 4 1 0 0
"26137" "A" 4 0 0 0
"26138" "C" 1 0 2 0
"26139" "E" 4 2 0 0
"26140" "D" 5 2 0 0
"26141" "D" 5 2 0 0
"26142" "D" 5 2 0 0
"26143" "D" 4 1 0 0
"26144" "E" 1 0 0 0
"26145" "C" 4 0 0 0
"26146" "D" 4 1 0 0
"26147" "E" 7 2 0 0
"26148" "A" 4 1 0 0
"26149" "E" 1 0 0 0
"26150" "D" 1 0 0 0
"26151" "E" 1 0 0 0
"26152" "A" 5 0 0 0
"26153" "D" 3 0 0 0
"26154" "A" 1 0 0 0
"26155" "E" 5 2 0 0
"26156" "H" 8 2 1 0
"26157" "D" 4 2 0 0
"26158" "A" 5 2 0 0
"26159" "D" 4 1 0 1
"26160" "E" 5 2 0 0
"26161" "A" 4 0 0 0
"26162" "A" 5 2 0 0
"26163" "D" 4 1 0 0
"26164" "A" 5 2 0 0
"26165" "A" 5 2 0 0
"26166" "A" 2 1 0 0
"26167" "A" 2 1 0 0
"26168" "A" 1 0 0 0
"26169" "D" 5 2 0 0
"26170" "A" 5 2 0 0
"26171" "E" 3 0 1 0
"26172" "E" 5 2 1 0
"26173" "A" 5 0 0 0
"26174" "D" 3 0 1 0
"26175" "A" 5 2 0 0
"26176" "D" 8 2 0 0
"26177" "A" 5 2 0 0
"26178" "D" 5 1 0 0
"26179" "F" 5 2 1 0
"26180" "D" 5 2 0 0
"26181" "H" 5 2 0 0
"26182" "D" 5 2 0 0
"26183" "E" 10 4 0 0
"26184" "E" 5 2 0 0
"26185" "A" 5 0 1 0
"26186" "A" 4 0 0 0
"26187" "A" 5 2 0 0
"26188" "A" 3 0 0 0
"26189" "E" 3 0 0 0
"26190" "A" 4 0 0 0
"26191" "A" 5 1 0 0
"26192" "A" 4 0 0 0
"26193" "A" 5 2 0 0
"26194" "A" 3 0 0 0
"26195" "E" 3 0 0 0
"26196" "D" 8 2 0 0
"26197" "A" 2 0 0 0
"26198" "D" 4 0 0 0
"26199" "F" 5 2 0 0
"26200" "A" 1 0 0 0
"26201" "A" 1 0 0 1
"26202" "D" 6 2 0 0
"26203" "D" 6 2 0 0
"26204" "A" 4 0 0 0
"26205" "D" 5 2 0 0
"26206" "D" 2 0 0 0
"26207" "A" 5 2 0 0
"26208" "A" 5 3 0 0
"26209" "D" 5 2 0 0
"26210" "A" 2 1 0 0
"26211" "D" 5 2 0 0
"26212" "D" 5 2 0 0
"26213" "E" 5 1 0 0
"26214" "E" 5 1 0 0
"26215" "E" 4 1 0 0
"26216" "D" 2 1 0 0
"26217" "D" 2 1 0 0
"26218" "A" 1 1 0 0
"26219" "A" 2 1 0 0
"26220" "E" 5 2 0 0
"26221" "A" 2 1 0 0
"26222" "D" 4 1 0 0
"26223" "A" 5 2 1 0
"26224" "E" 1 1 0 0
"26225" "A" 7 3 0 0
"26226" "E" 2 1 0 0
"26227" "A" 4 1 0 0
"26228" "D" 2 1 0 0
"26229" "C" 5 2 0 1
"26230" "D" 10 4 0 0
"26231" "A" 1 1 0 0
"26232" "G" 3 1 2 0
"26233" "D" 4 1 0 0
"26234" "A" 4 1 1 0
"26235" "C" 4 1 1 0
"26236" "E" 10 4 0 0
"26237" "A" 3 1 0 0
"26238" "G" 3 1 2 0
"26239" "E" 4 1 0 0
"26240" "A" 5 2 1 0
"26241" "A" 5 2 0 0
"26242" "D" 5 1 0 0
"26243" "A" 5 2 0 0
"26244" "D" 2 1 0 0
"26245" "D" 2 1 0 0
"26246" "D" 3 1 0 0
"26247" "D" 5 2 0 0
"26248" "E" 5 2 0 0
"26249" "D" 3 2 0 0
"26250" "A" 5 2 0 0
"26251" "E" 0 2 0 0
"26252" "E" 0 2 0 0
"26253" "A" 1 2 0 0
"26254" "H" 5 2 1 0
"26255" "E" 6 4 0 0
"26256" "A" 2 2 0 0
"26257" "A" 5 2 0 0
"26258" "A" 1 2 0 0
"26259" "D" 8 4 0 0
"26260" "D" 10 4 0 0
"26261" "E" 0 2 0 0
"26262" "F" 5 4 0 0
"26263" "F" 5 2 0 0
"26264" "E" 0 2 0 0
"26265" "A" 5 2 0 0
"26266" "D" 6 4 0 0
"26267" "A" 4 2 0 0
"26268" "C" 3 2 2 0
"26269" "A" 5 2 0 0
"26270" "D" 1 2 0 0
"26271" "A" 3 2 0 0
"26272" "F" 6 4 0 0
"26273" "D" 1 2 0 0
"26274" "A" 5 2 0 0
"26275" "A" 5 2 0 0
"26276" "E" 8 4 0 0
"26277" "A" 1 0 0 0
"26278" "A" 1 0 0 0
"26279" "E" 1 1 0 0
"26280" "D" 4 2 0 0
"26281" "A" 1 0 0 0
"26282" "A" 5 2 0 0
"26283" "A" 2 2 0 0
"26284" "D" 1 0 0 0
"26285" "A" 6 3 0 0
"26286" "A" 5 2 0 0
"26287" "E" 1 0 0 0
"26288" "A" 5 2 0 0
"26289" "A" 1 2 0 0
"26290" "E" 1 0 0 0
"26291" "A" 2 2 0 0
"26292" "E" 6 4 0 0
"26293" "F" 5 2 0 0
"26294" "E" 3 2 0 0
"26295" "A" 5 2 0 0
"26296" "A" 5 2 0 0
"26297" "G" 5 2 2 0
"26298" "D" 5 2 0 0
"26299" "A" 3 2 0 0
"26300" "A" 3 2 0 0
"26301" "E" 2 2 0 1
"26302" "D" 3 2 0 0
"26303" "D" 3 2 0 0
"26304" "A" 7 2 0 0
"26305" "A" 2 1 1 0
"26306" "A" 2 1 0 0
"26307" "A" 2 1 0 0
"26308" "D" 2 2 0 0
"26309" "D" 2 2 0 0
"26310" "F" 2 0 0 0
"26311" "D" 2 1 1 0
"26312" "D" 7 3 0 0
"26313" "A" 2 2 0 0
"26314" "G" 5 2 1 0
"26315" "A" 2 2 0 0
"26316" "A" 2 2 1 0
"26317" "G" 2 0 0 0
"26318" "A" 2 2 1 0
"26319" "A" 5 2 0 0
"26320" "A" 2 1 0 0
"26321" "D" 7 3 0 0
"26322" "G" 5 2 2 0
"26323" "C" 5 2 2 0
"26324" "E" 5 2 0 0
"26325" "F" 8 2 0 0
"26326" "F" 4 2 0 0
"26327" "A" 3 1 0 0
"26328" "D" 3 2 0 0
"26329" "A" 1 0 0 0
"26330" "A" 1 0 0 0
"26331" "D" 3 0 0 0
"26332" "D" 3 0 0 0
"26333" "C" 3 1 0 0
"26334" "D" 1 0 0 0
"26335" "D" 2 0 0 0
"26336" "D" 5 2 0 0
"26337" "A" 4 2 0 0
"26338" "A" 2 0 0 0
"26339" "A" 5 2 0 0
"26340" "C" 3 2 1 1
"26341" "H" 3 0 1 0
"26342" "D" 4 2 0 0
"26343" "G" 1 0 2 0
"26344" "A" 5 2 0 0
"26345" "E" 1 0 0 0
"26346" "E" 4 2 0 0
"26347" "D" 9 2 0 0
"26348" "F" 10 4 0 0
"26349" "D" 5 2 0 1
"26350" "D" 5 2 1 0
"26351" "D" 5 2 0 0
"26352" "E" 5 2 0 0
"26353" "A" 4 1 1 0
"26354" "H" 5 2 1 0
"26355" "D" 4 1 0 0
"26356" "A" 5 2 0 0
"26357" "G" 4 0 2 0
"26358" "F" 3 0 0 0
"26359" "A" 1 0 0 0
"26360" "C" 5 2 2 0
"26361" "C" 5 2 1 0
"26362" "A" 5 2 0 0
"26363" "A" 4 2 0 0
"26364" "A" 4 2 0 0
"26365" "A" 4 2 0 0
"26366" "A" 4 2 0 0
"26367" "A" 4 2 0 0
"26368" "G" 10 4 0 0
"26369" "D" 10 4 0 0
"26370" "A" 5 2 1 0
"26371" "F" 4 1 0 0
"26372" "C" 5 2 1 0
"26373" "A" 5 2 0 0
"26374" "F" 5 2 1 0
"26375" "D" 5 2 0 0
"26376" "A" 10 4 0 0
"26377" "A" 10 4 1 0
"26378" "D" 5 2 1 1
"26379" "E" 4 1 1 0
"26380" "E" 4 1 0 0
"26381" "D" 4 2 0 0
"26382" "E" 5 2 0 0
"26383" "F" 3 0 0 0
"26384" "A" 4 2 0 0
"26385" "D" 4 0 0 0
"26386" "A" 4 1 0 0
"26387" "A" 4 0 0 0
"26388" "E" 5 2 0 0
"26389" "D" 10 4 0 0
"26390" "D" 4 1 0 0
"26391" "E" 6 2 0 0
"26392" "A" 4 1 0 0
"26393" "D" 4 0 0 0
"26394" "D" 1 0 0 0
"26395" "D" 2 0 0 0
"26396" "D" 1 0 0 0
"26397" "F" 2 2 0 0
"26398" "A" 6 2 0 0
"26399" "A" 1 0 0 0
"26400" "G" 0 0 2 0
"26401" "G" 0 0 2 0
"26402" "A" 5 2 0 0
"26403" "A" 1 0 0 0
"26404" "D" 2 0 0 0
"26405" "A" 5 2 0 0
"26406" "A" 3 0 0 0
"26407" "A" 5 2 0 0
"26408" "A" 5 2 0 0
"26409" "D" 5 1 0 0
"26410" "C" 3 0 2 0
"26411" "A" 1 0 0 0
"26412" "A" 6 2 0 0
"26413" "A" 6 2 0 0
"26414" "A" 5 2 0 0
"26415" "D" 3 0 1 0
"26416" "A" 5 0 0 0
"26417" "A" 2 0 0 0
"26418" "H" 5 2 0 0
"26419" "A" 1 0 0 0
"26420" "D" 4 0 0 0
"26421" "D" 1 0 0 0
"26422" "A" 2 0 0 0
"26423" "D" 3 0 0 0
"26424" "A" 3 0 0 0
"26425" "A" 1 0 0 0
"26426" "A" 2 0 0 0
"26427" "A" 1 0 0 0
"26428" "D" 5 1 0 0
"26429" "A" 1 0 0 0
"26430" "E" 2 0 0 0
"26431" "A" 2 0 0 0
"26432" "A" 1 0 0 0
"26433" "A" 1 0 0 0
"26434" "E" 3 0 0 0
"26435" "F" 2 0 0 0
"26436" "D" 1 0 0 0
"26437" "D" 7 2 0 0
"26438" "G" 3 0 2 0
"26439" "A" 0 2 1 0
"26440" "A" 1 0 1 0
"26441" "A" 4 0 0 0
"26442" "E" 1 0 0 0
"26443" "A" 1 0 0 0
"26444" "A" 3 1 0 0
"26445" "A" 5 1 0 0
"26446" "E" 2 1 0 0
"26447" "A" 5 1 0 0
"26448" "D" 5 2 0 0
"26449" "E" 4 1 1 0
"26450" "A" 0 0 0 0
"26451" "D" 2 1 0 0
"26452" "D" 2 1 0 0
"26453" "D" 2 1 0 0
"26454" "D" 2 1 0 0
"26455" "E" 5 2 0 0
"26456" "A" 4 1 0 0
"26457" "D" 2 1 0 0
"26458" "D" 2 1 0 0
"26459" "D" 2 1 0 0
"26460" "A" 0 1 0 0
"26461" "A" 4 1 0 0
"26462" "A" 2 1 0 1
"26463" "D" 1 1 0 1
"26464" "G" 1 1 2 0
"26465" "E" 4 1 1 0
"26466" "A" 5 1 0 0
"26467" "D" 7 3 0 0
"26468" "C" 1 1 2 0
"26469" "A" 5 3 0 0
"26470" "A" 1 1 0 0
"26471" "A" 5 2 0 0
"26472" "A" 1 1 0 0
"26473" "G" 5 2 2 0
"26474" "F" 3 1 0 0
"26475" "D" 3 1 0 0
"26476" "A" 4 1 0 0
"26477" "A" 1 1 0 0
"26478" "D" 5 2 0 0
"26479" "D" 5 2 0 0
"26480" "A" 1 1 0 0
"26481" "D" 5 2 0 0
"26482" "E" 1 1 1 0
"26483" "C" 2 1 1 0
"26484" "G" 0 1 2 0
"26485" "G" 0 1 2 0
"26486" "A" 3 1 1 0
"26487" "D" 5 2 0 0
"26488" "A" 0 1 0 0
"26489" "A" 2 1 0 0
"26490" "A" 0 0 0 0
"26491" "A" 0 0 1 0
"26492" "A" 4 2 0 0
"26493" "G" 2 2 2 0
"26494" "A" 5 2 0 0
"26495" "A" 4 2 0 0
"26496" "D" 3 2 0 0
"26497" "A" 0 1 0 0
"26498" "A" 5 3 0 0
"26499" "F" 0 2 0 0
"26500" "A" 10 4 0 0
"26501" "A" 10 4 0 0
"26502" "A" 6 4 0 0
"26503" "D" 5 2 0 0
"26504" "D" 8 4 0 0
"26505" "A" 8 4 0 0
"26506" "A" 1 2 0 0
"26507" "A" 5 3 0 0
"26508" "A" 5 3 0 0
"26509" "A" 5 3 0 0
"26510" "A" 4 1 0 0
"26511" "E" 5 2 0 0
"26512" "E" 5 2 0 0
"26513" "F" 0 1 0 0
"26514" "A" 6 4 0 0
"26515" "A" 5 3 0 0
"26516" "A" 5 3 0 0
"26517" "H" 0 1 1 0
"26518" "C" 0 1 2 0
"26519" "A" 2 2 0 0
"26520" "C" 5 2 2 0
"26521" "A" 5 2 0 0
"26522" "D" 2 2 0 0
"26523" "E" 5 2 0 0
"26524" "E" 5 2 0 0
"26525" "E" 5 2 0 0
"26526" "D" 1 2 0 0
"26527" "D" 1 2 0 0
"26528" "D" 2 2 0 0
"26529" "A" 1 0 0 0
"26530" "A" 5 2 0 0
"26531" "A" 6 4 0 0
"26532" "A" 5 2 0 0
"26533" "E" 6 3 0 0
"26534" "D" 6 3 0 0
"26535" "A" 5 2 0 0
"26536" "C" 4 2 2 0
"26537" "D" 5 2 0 0
"26538" "A" 7 4 0 0
"26539" "D" 1 0 0 0
"26540" "D" 1 0 0 0
"26541" "A" 4 2 0 0
"26542" "A" 0 0 0 0
"26543" "E" 7 3 0 0
"26544" "D" 7 3 0 0
"26545" "A" 10 4 0 0
"26546" "D" 5 2 0 0
"26547" "A" 5 2 0 0
"26548" "D" 1 0 0 0
"26549" "E" 1 0 0 0
"26550" "A" 2 2 0 0
"26551" "H" 4 2 1 0
"26552" "A" 2 2 0 0
"26553" "A" 2 2 0 0
"26554" "D" 7 3 0 0
"26555" "A" 7 3 0 0
"26556" "A" 3 2 0 0
"26557" "F" 3 2 0 0
"26558" "D" 2 1 0 0
"26559" "A" 2 0 0 0
"26560" "A" 2 2 0 0
"26561" "A" 1 0 0 0
"26562" "A" 2 2 0 0
"26563" "A" 2 2 0 0
"26564" "A" 2 2 0 0
"26565" "A" 2 2 0 0
"26566" "A" 2 2 0 0
"26567" "A" 2 2 0 0
"26568" "A" 2 2 0 0
"26569" "E" 1 0 0 0
"26570" "A" 2 1 0 0
"26571" "E" 1 0 0 0
"26572" "A" 2 0 0 0
"26573" "D" 3 2 1 0
"26574" "C" 1 0 0 0
"26575" "F" 3 2 0 0
"26576" "A" 8 2 0 0
"26577" "D" 5 2 0 0
"26578" "A" 3 0 0 0
"26579" "E" 3 1 0 0
"26580" "D" 3 2 1 0
"26581" "D" 3 2 0 0
"26582" "C" 3 1 2 0
"26583" "D" 3 1 0 0
"26584" "F" 3 0 1 0
"26585" "F" 3 0 1 0
"26586" "E" 3 2 0 0
"26587" "A" 3 0 0 0
"26588" "A" 3 2 0 0
"26589" "A" 2 0 0 0
"26590" "D" 3 2 0 0
"26591" "D" 3 1 0 0
"26592" "D" 3 1 0 0
"26593" "F" 3 2 1 0
"26594" "E" 5 2 0 0
"26595" "D" 3 1 0 0
"26596" "A" 3 0 0 1
"26597" "A" 2 0 0 0
"26598" "D" 1 0 0 1
"26599" "D" 3 1 0 0
"26600" "E" 6 2 0 0
"26601" "A" 5 2 0 0
"26602" "A" 5 2 0 1
"26603" "A" 4 1 0 0
"26604" "A" 5 2 1 0
"26605" "A" 4 1 0 0
"26606" "A" 4 1 1 0
"26607" "A" 4 1 0 0
"26608" "D" 5 2 0 0
"26609" "A" 2 0 0 0
"26610" "D" 8 2 0 0
"26611" "A" 5 2 0 0
"26612" "D" 2 0 1 1
"26613" "A" 4 1 0 0
"26614" "H" 5 2 3 0
"26615" "C" 2 0 2 0
"26616" "A" 4 0 0 0
"26617" "A" 4 2 0 0
"26618" "A" 4 2 1 0
"26619" "G" 5 2 2 0
"26620" "D" 4 2 0 1
"26621" "D" 1 0 0 0
"26622" "E" 4 2 0 1
"26623" "A" 4 0 0 0
"26624" "A" 4 0 0 0
"26625" "E" 4 2 0 1
"26626" "G" 1 0 1 1
"26627" "A" 4 0 2 0
"26628" "D" 1 0 1 0
"26629" "D" 11 4 0 0
"26630" "E" 5 2 0 0
"26631" "D" 5 2 0 0
"26632" "A" 2 0 0 0
"26633" "D" 5 2 0 0
"26634" "C" 5 2 2 0
"26635" "A" 5 1 0 0
"26636" "H" 3 0 1 0
"26637" "G" 0 2 0 0
"26638" "E" 5 2 0 0
"26639" "D" 5 2 0 1
"26640" "D" 4 0 0 0
"26641" "D" 6 2 0 0
"26642" "D" 5 2 0 0
"26643" "F" 2 0 0 0
"26644" "D" 5 1 0 0
"26645" "G" 5 0 1 1
"26646" "A" 4 0 1 0
"26647" "G" 5 0 1 0
"26648" "G" 5 1 2 0
"26649" "A" 0 0 0 0
"26650" "A" 5 0 0 0
"26651" "D" 5 2 0 0
"26652" "A" 2 0 0 0
"26653" "A" 5 1 1 0
"26654" "A" 5 0 0 0
"26655" "A" 5 0 0 0
"26656" "D" 2 0 0 0
"26657" "A" 2 0 0 0
"26658" "G" 5 2 2 0
"26659" "D" 3 0 0 0
"26660" "A" 0 1 0 0
"26661" "A" 1 0 0 0
"26662" "C" 10 4 0 0
"26663" "A" 3 0 0 0
"26664" "A" 3 0 0 0
"26665" "A" 3 0 0 0
"26666" "A" 3 0 0 1
"26667" "A" 3 0 0 0
"26668" "A" 3 0 0 0
"26669" "A" 1 0 0 0
"26670" "H" 2 0 1 0
"26671" "A" 5 2 0 0
"26672" "A" 2 1 0 0
"26673" "E" 10 4 0 0
"26674" "E" 5 2 0 0
"26675" "D" 0 1 0 0
"26676" "A" 7 3 0 0
"26677" "A" 4 1 0 1
"26678" "A" 1 1 0 0
"26679" "A" 4 1 0 0
"26680" "A" 5 2 0 0
"26681" "D" 5 2 0 0
"26682" "A" 0 1 0 0
"26683" "G" 0 1 0 0
"26684" "A" 5 2 0 0
"26685" "A" 1 1 0 0
"26686" "A" 1 1 0 0
"26687" "D" 4 1 0 0
"26688" "D" 7 3 0 0
"26689" "A" 2 1 0 0
"26690" "A" 0 1 0 0
"26691" "G" 0 1 1 0
"26692" "A" 5 2 1 0
"26693" "A" 3 1 0 0
"26694" "D" 5 2 0 0
"26695" "A" 1 1 0 0
"26696" "A" 1 1 0 0
"26697" "D" 5 2 0 0
"26698" "A" 1 1 0 0
"26699" "A" 3 1 0 1
"26700" "A" 5 2 0 0
"26701" "H" 1 1 0 0
"26702" "A" 1 1 0 0
"26703" "E" 1 2 0 0
"26704" "A" 5 2 1 0
"26705" "G" 2 1 2 0
"26706" "G" 0 1 2 0
"26707" "G" 0 1 2 0
"26708" "D" 5 2 0 0
"26709" "H" 0 1 1 0
"26710" "A" 5 2 0 0
"26711" "A" 0 1 0 0
"26712" "A" 0 1 0 0
"26713" "D" 5 2 0 0
"26714" "D" 5 2 0 0
"26715" "E" 5 2 0 0
"26716" "F" 2 2 0 0
"26717" "A" 5 4 0 0
"26718" "E" 0 1 0 0
"26719" "D" 3 2 0 0
"26720" "A" 5 4 0 0
"26721" "A" 2 2 1 0
"26722" "D" 2 2 0 0
"26723" "A" 2 2 0 0
"26724" "D" 2 2 0 0
"26725" "A" 2 2 0 0
"26726" "D" 5 2 2 0
"26727" "D" 0 2 0 0
"26728" "A" 2 0 0 0
"26729" "D" 1 2 0 0
"26730" "H" 0 1 0 0
"26731" "G" 3 2 2 0
"26732" "F" 5 2 0 0
"26733" "A" 3 2 0 0
"26734" "G" 1 2 0 0
"26735" "E" 0 1 0 0
"26736" "A" 3 2 0 0
"26737" "A" 5 2 0 0
"26738" "A" 5 2 0 0
"26739" "E" 4 2 0 0
"26740" "E" 4 2 1 0
"26741" "E" 4 2 1 0
"26742" "E" 4 2 0 0
"26743" "E" 4 2 0 0
"26744" "E" 6 3 0 0
